Date,Account,Category,Subcategory,Note,INR,Income/Expense,Amount,Currency,Month,Day,Hour,Time_Diff
2022-03-02 10:11:00,CUB - online payment,Food,,Brownie,50.0,Expense,50.0,INR,3,Wednesday,10,
2022-03-02 10:11:00,CUB - online payment,Other,,To lended people,300.0,Expense,300.0,INR,3,Wednesday,10,0.0
2022-03-01 19:50:00,CUB - online payment,Food,,Dinner,78.0,Expense,78.0,INR,3,Tuesday,19,-14.35
2022-03-01 18:56:00,CUB - online payment,Transportation,,Metro,30.0,Expense,30.0,INR,3,Tuesday,18,-0.9
2022-03-01 18:22:00,CUB - online payment,Food,,Snacks,67.0,Expense,67.0,INR,3,Tuesday,18,-0.5666666666666667
2022-03-01 18:22:00,CUB - online payment,Other,,From vicky,100.0,Income,100.0,INR,3,Tuesday,18,0.0
2022-03-01 18:21:00,CUB - online payment,Other,,From dad,500.0,Income,500.0,INR,3,Tuesday,18,-0.016666666666666666
2022-02-28 11:56:00,CUB - online payment,Food,,Pizza,339.15,Expense,339.15,INR,2,Monday,11,-30.416666666666668
2022-02-28 11:45:00,CUB - online payment,Other,,From kumara,200.0,Income,200.0,INR,2,Monday,11,-0.18333333333333332
2022-02-27 15:29:00,CUB - online payment,Food,,Lunch,243.0,Expense,243.0,INR,2,Sunday,15,-20.266666666666666
2022-02-26 20:16:00,CUB - online payment,Food,,,25.0,Expense,25.0,INR,2,Saturday,20,-19.216666666666665
2022-02-26 17:37:00,CUB - online payment,Other,,From dad,1500.0,Income,1500.0,INR,2,Saturday,17,-2.65
2022-02-26 17:37:00,CUB - online payment,Other,,To karthi,100.0,Expense,100.0,INR,2,Saturday,17,0.0
2022-02-26 16:01:00,CUB - online payment,Social Life,,,1700.0,Expense,1700.0,INR,2,Saturday,16,-1.6
2022-02-26 14:07:00,CUB - online payment,Food,,Snacks,40.0,Expense,40.0,INR,2,Saturday,14,-1.9
2022-02-26 01:39:00,CUB - online payment,Food,,Tea lights,84.0,Expense,84.0,INR,2,Saturday,1,-12.466666666666667
2022-02-25 12:08:00,CUB - online payment,Food,,,33.0,Expense,33.0,INR,2,Friday,12,-13.516666666666667
